赤茯苓,"['赤苓', '赤茯']"
路路通,"['枫实', '枫果', '枫木上球', '枫香果', '狼目', '狼眼', '九空子', '枫木球。']"
车前子,"['车前实', '虾蟆衣子', '猪耳朵穗子', '凤眼前仁']"
连翘,"['旱连子', '大翘子', '空翘', '空壳\n', '落翘']"
透骨草,"['珍珠透骨草', '竹格叉', '吉盖草', '枸皮草。']"
酸枣仁,"['枣仁', '酸枣核。']"
金银花,"['忍冬花', '鹭鸶花', '银花', '双花', '二花', '金藤花', '双苞花', '金花', '二宝花']"
附子,['']
青皮,"['青橘皮', '青柑皮。']"
香附,"['雀头香', '莎草根', '香附子', '雷公头', '香附米', '三棱草根', '苦羌头']"
骨碎补,"['猴姜', '猢狲姜', '石毛姜', '石庵 (艹闾)', '过山龙', '石良姜', '爬岩姜', '石岩姜', '碎补', '树蜈蚣', '地蜈蚣', '黄爬山虎', '麻鸡翅膀', '搜山虎', '肉碎补', '猴掌姜', '石连', '姜', '石巴掌', '毛姜', '申姜', '岩姜']"
鱼腥草,"['岑草', '蕺', '菹菜', '紫背鱼腥草', '紫蕺', '菹子', '臭猪巢', '侧耳根', '猪鼻孔', '九节莲', '折耳根', '肺形草', '臭腥 草。']"
鳖甲,"['上甲', '鳖壳', '甲鱼壳', '团鱼壳', '团鱼盖', '团鱼甲', '鳖盖子']"
鸡血藤,"['血风藤', '马鹿藤', '紫梗藤', '猪血藤', '九层风', '红藤', '活血藤', '大血藤', '血龙藤', '过岗龙', '五层血。']"
鹿衔草,"['鹿蹄草', '小秦王草', '破血丹', '纸背金牛草', '大肺筋草', '红肺筋草', '鹿寿茶', '\n鹿安茶', '鹿含草']"
鹿角胶,"['白胶', '鹿胶']"
麻黄,"['龙沙', '狗骨', '卑相', '卑盐']"
黄柏,"['檗木', '檗皮', '黄檗。']"
黄芩,"['腐肠', '黄文', '妒妇', '虹胜', '经芩', '印头', '内虚', '空肠', '子芩', '宿芩', '条芩', '元芩', '土金茶根', '山茶根', '黄金条根']"
黄连,"['王连', '支连']"
龙骨,['']
莱菔子,"['萝卜子', '芦菔子']"
木香,"['蜜香', '青木香', '五香', '五木香', '南木香', '广木香']"
大枣,"['壶', '木蜜', '干枣', '美枣', '良枣', '红枣', '干赤枣', '胶枣', '南枣', '白蒲枣', '半官枣', '刺枣。']"
生姜,"['姜根', '百辣云', '勾装指', '因地辛', '炎凉小子', '鲜生姜', '蜜炙姜', '生姜汁', '姜']"
黑芝麻,"['胡麻', '巨胜', '狗虱', '乌麻', '乌麻子', '油麻', '油麻子', '黑油麻', '脂麻', '巨胜子', '黑脂麻', '乌芝麻', '小胡麻']"
干姜,"['白姜', '均姜']"
桑寄生,"['茑', '寓木', '宛童', '桑上寄生', '寄屑', '寄生树', '茑木']"
鸡骨草,"['黄头草', '黄仔强', '大黄草', '假牛甘子', '红母鸡草', '猪腰草', '黄食草', '小叶龙鳞草', '']"
鼠妇,"['伊威', '蟠', '鼠负', '委黍', '负蟠', '负攀', '鼠姑', '鼠粘', '鼠赖虫', '湿生虫', '地鸡', '地虱', '肥蛀蚋', '西瓜虫', '蒲鞋头虫', '潮湿虫', '地虱婆', '豌豆虫', '瓢虫', '潮虫子', '土孵', '暗板虫', '鞋板虫']"
白芍,"['白芍药', '金芍药。']"
菊花,"['节华', '日精', '女节', '女华', '女茎', '更生', '周盈', '傅延年', '阴成', '甘菊', '真菊', '金精', '金蕊', '镘头菊', '簪头菊', '甜菊花', '药菊']"
阿胶,"['傅致胶', '盆覆胶', '驴皮胶']"
橘红,"['芸皮', '芸红。']"
猫爪草,"['猫爪儿草', '三散草']"
薄荷,"['蕃荷菜', '菝蕑', '吴菝蕑', '南薄荷', '猫儿薄苛', '野薄荷', '升阳菜薄苛', '蔢荷', '夜息药', '仁丹草', '见肿消', '水益母', '接骨草', '土薄荷', '鱼香草', '香薷草']"
白花蛇舌草,"['蛇舌草', '矮脚白花蛇利草', '蛇舌癀', '目目生珠草', '节节结蕊草', '鹩哥利', '千打捶', '羊须草', '蛇总管', '鹤舌草', '细叶柳子', '甲猛草', '蛇针草', '白花十字草', '尖刀草', '珠仔草', '定经草', '小叶锅巴草', '南地珠', '散草', '竹叶草', '奶沙尔', '铁沙尔']"
龙葵,"['苦菜', '苦葵', '老鸦眼睛草', '天茄子', '天茄苗儿', '天天茄', '救儿草', '后红子', '水茄', '天泡草', '老鸦酸浆草', '天泡果', '七粒扣', '乌疔草', '野茄子', '黑姑娘', '乌归菜', '野海椒', '黑茄', '地泡子', '地戎草', '山辣椒', '山海椒', '野茄菜', '耳坠菜', '野辣角', '天茄菜', '狗钮子', '野辣椒', '野葡萄', '酸浆草', '水苦菜', '野伞子', '飞天龙']"
川贝母,"['虻', '黄虻', '莔', '贝母', '勤母', '药实']"
肉桂,"['菌桂', '牡桂', '桂', '大桂', '筒桂', '辣桂', '玉桂']"
虎杖,"['（艹涂）', '大虫杖', '苦杖', '酸杖', '斑杖', '苦杖根', '杜牛膝', '酸桶笋', '\n斑庄根', '酸杆', '斑根', '黄药子', '土地榆', '酸通', '雌黄连', '蛇总管\n大活血', '紫金龙', '酸汤杆', '黄地榆', '号筒草', '斑龙紫', '红贯脚', '\n阴阳莲', '活血龙', '猴竹根', '金锁王', '大叶蛇总管', '九龙根', '山茄子', '\n斑草', '搬倒甑', '九股牛', '大接骨', '老君丹']"
杜仲,"['思仙', '思仲', '木绵', '檰', '石思仙', '扯丝皮', '丝连皮', '玉丝皮', '丝棉皮']"
芦根,"['芦茅根', '苇根', '芦菰根', '顺江龙', '水蓈蔃', '芦柴根', '芦通', '苇子根', '芦芽根', '甜梗子', '芦头']"
半枝莲,"['狭叶韩信草', '通经草', '紫连草', '并头草', '牙刷草', '水韩信', '溪边黄芩', '金挖耳', '野夏枯草', '言草儿', '半向花', '偏头草', '四方草', '耳挖草', '小号向天盏', '狭叶向天盏']"
威灵仙,"['能消', '铁脚威灵仙', '灵仙', '黑脚威灵仙', '黑骨头']"
蛇莓,"['鸡冠果', '野杨梅', '蛇藨', '地莓', '蚕莓', '三点红', '龙吐珠', '狮子尾', '疗疮药', '蛇蛋果', '地锦', '三匹风', '蛇泡草', '三皮风', '三爪龙', '一点红', '老蛇泡', '蛇蓉草', '三脚虎', '蛇皮藤', ' 蛇八瓣', '龙衔珠', '小草莓', '地杨梅', '蛇不见', '金蝉草', '三叶藨', '老蛇刺占', '老蛇蔂', '龙球草', '蛇葡萄', '蛇果藤', '蛇枕头', '蛇含草', '蛇盘草', '哈哈果', '麻蛇果', '九龙草', '三匹草', '蛇婆', '蛇龟草', '落地杨梅', '红顶果', '血疔草']"
unfound,['甘草']
